date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2016-07-26,35.985,7.945,0.7607670130429424,-1.4546717355277778,1.1029457523707755,0.6070733984002995,1.7581176264368295
2016-07-27,35.835,10.035,0.6959754298155613,0.41509089701919605,1.1387999466704655,0.7107570679751825,-0.48748712954847734
2016-07-28,35.245,9.945,0.43846983493242586,0.3429615071779613,1.0533719917065705,0.5752018531291727,-0.49799806409148323
2016-07-29,35.165,9.915,0.40322236634362496,0.3187732467230122,0.9832588998802382,0.46836980288620533,-0.3785840684267011
2016-08-01,35.37,9.865,0.493384154384278,0.27829637526767936,0.9399280257131597,0.40737683579472816,-0.1755712439789286
2016-08-02,34.185,9.965,-0.03518780725996845,0.3590465113243051,0.9108275946853881,0.38604511682164155,-0.7482623943713067
2016-08-03,34.645,10.125,0.17214051374909164,0.4865762658557278,0.8467067480550434,0.2973288980883759,-0.5371757920827538
2016-08-04,34.695,10.005,0.19451012026703438,0.3911198967147549,0.7800558544369602,0.22072412224387272,-0.33130936719596216
2016-08-05,35.91,10.225,0.728405051645588,0.5652629741189603,0.7371626394616723,0.18568102669283748,0.12603327896126282
2016-08-08,36.145,10.155,0.8295810229114216,0.5102635852668578,0.7167939273956965,0.1886748677349715,0.27515231588601025
2016-08-09,42.245,10.205,3.2484936510837676,0.5495873780768616,0.7162489197849482,0.21268625721311005,2.6421660279956636
2016-08-10,40.695,10.165,2.6686774629918246,0.5181438104314585,0.8137347865121307,0.4148995914624093,1.8321462285653904
2016-08-11,41.68,10.445,3.03964303449919,0.7356988040976941,0.8738804146188943,0.5389983017100082,1.8577319568296644
2016-08-12,41.695,10.545,3.045224233649476,0.8119862618938217,0.9381778460510921,0.6691185597512581,1.614318151691594
2016-08-15,42.865,10.605,3.474484515833993,0.8574122454339255,0.9976194524426855,0.7939179844261128,1.825195396600434
2016-08-16,42.085,10.495,3.1896349727170117,0.7739333950090825,1.0573168435986633,0.9154815812522057,1.4558605770982056
2016-08-17,42.025,10.395,3.167505259100753,0.6972807451570906,1.100113289412029,1.0060287050083856,1.3943887398939299
2016-08-18,42.435,10.475,3.3180994757210933,0.7586614626323986,1.1364344064059704,1.0889418727986773,1.3669886139726806
2016-08-19,43.705,10.385,3.7755060753865943,0.6895749619627372,1.171584240635315,1.1686480634666534,1.7989628537477014
2016-08-22,43.575,10.385,3.7292997918760147,0.6895749619627372,1.2125990214881777,1.2565020534480533,1.6366198143091992
2016-08-23,43.655,10.405,3.7577507134762844,0.7049791189433873,1.2469400817660057,1.3293400391769414,1.549343954080749
2016-08-24,42.38,10.165,3.297982523401465,0.5181438104314585,1.2776033824248918,1.3941705441995618,1.24182969441215
2016-08-25,42.115,10.245,3.200688001073902,0.5809079387863083,1.2963186467200674,1.445768544160232,1.001877663837259
2016-08-26,42.135,10.175,3.2080523133647083,0.526016287094159,1.30987668158676,1.4890402408647345,1.0299956039004883
2016-08-29,41.975,10.195,3.149039682549502,0.5417380557610031,1.3242986079304455,1.5244986839190782,0.9071180455231813
2016-08-30,43.145,10.105,3.5754755269850507,0.47074569595098786,1.337560020620125,1.5533852543147455,1.3924396498872669
2016-08-31,43.065,10.105,3.54668798600658,0.47074569595098786,1.3602561711791263,1.5922727538358468,1.3140804941973891
2016-09-01,43.235,10.085,3.6077977758286592,0.4548837628362405,1.3780542792533068,1.6295453006566896,1.3513979592326422
2016-09-02,43.525,10.235,3.7114914288737513,0.5730892778906322,1.3907064310285588,1.6706488637827406,1.2438436207749957
2016-09-06,41.74,10.295,3.0619557918416476,0.6198871205548304,1.4034367577846163,1.7075112008589697,0.48447222031876525
2016-09-07,41.165,10.215,2.8467934871821967,0.5574290125145881,1.4020969320620231,1.7411520543011094,0.3240719245920203
2016-09-08,40.965,10.095,2.7712492858837083,0.46281865755996243,1.4003100061381357,1.7630793533572926,0.36008033531778105
2016-09-09,38.595,9.615,1.846861530113654,0.07278437015307021,1.380419250247419,1.786941441881102,-0.04055285744387982
